id,Time (Sec),Temperature (deg),K PID,Heater State,SETTINGS:,Time,Total distance X (m),Total distance Y (m),Heading (rad),Speed (m/min),Battery voltage,deltaDistance
1,,,,,mX:,0.0,19.24,-3.99,-1.29,0.53,12.35,0.53
2,,,,,mY:,1.0,19.24,-3.99,-1.29,0.53,12.35,0.53
3,,,,,mHeading:,2.0,20.28,-4.21,-1.69,0.53,12.30,0.53
