id,Time (Sec),Temperature (deg),K PID,Heater State,SETTINGS:
211,210.0,32.74,15,10,
212,211.0,32.62,15,10,
213,212.0,32.62,15,10,
214,213.0,32.62,15,10,
215,214.0,32.62,15,10,
216,215.0,32.74,15,10,
217,216.0,32.62,15,10,
218,217.0,32.62,15,10,
219,218.0,32.62,13,10,
220,219.0,32.62,14,10,
221,220.0,32.62,15,10,
222,221.0,32.62,15,10,
223,222.0,32.62,15,10,
224,223.0,32.62,15,10,
225,224.0,32.74,15,10,
226,225.0,32.74,15,10,
227,226.0,32.62,15,10,
228,227.0,32.62,15,10,
229,228.0,32.62,15,10,
230,229.0,32.62,15,10,
231,230.0,32.62,15,10,
232,231.0,32.62,15,10,
233,232.0,32.62,15,10,
234,233.0,32.62,15,10,
235,234.0,32.74,15,10,
236,235.0,32.62,13,10,
237,236.0,32.74,14,10,
238,237.0,32.74,15,10,
239,238.0,32.74,15,10,
240,239.0,32.74,15,10,
241,240.0,32.62,15,10,
242,241.0,32.62,15,10,
243,242.0,32.62,15,10,
244,243.0,32.62,15,10,
245,244.0,32.62,15,10,
246,245.0,32.62,15,10,
247,246.0,32.62,15,10,
248,247.0,32.62,15,10,
249,248.0,32.62,15,10,
250,249.0,32.62,15,10,
251,250.0,32.62,15,10,
252,251.0,32.62,15,10,
253,252.0,32.62,13,10,
254,253.0,32.62,14,10,
255,254.0,32.62,15,10,
256,255.0,32.62,15,10,
257,256.0,32.62,15,10,
258,257.0,32.62,15,10,
259,258.0,32.62,15,10,
260,259.0,32.74,15,10,
261,260.0,32.62,15,10,
262,261.0,32.74,15,10,
263,262.0,32.74,15,10,
264,263.0,32.74,15,10,
265,264.0,32.74,15,10,
266,265.0,32.74,15,10,
267,266.0,32.74,15,10,
268,267.0,32.86,15,10,
269,268.0,32.86,15,10,
270,269.0,32.86,13,10,
271,270.0,32.86,14,10,
272,271.0,32.86,15,10,
273,272.0,32.74,15,10,
274,273.0,32.86,15,10,
275,274.0,32.86,15,10,
276,275.0,32.86,15,10,
277,276.0,32.86,15,10,
278,277.0,32.86,15,10,
279,278.0,32.86,15,10,
280,279.0,32.86,15,10,
281,280.0,32.86,15,10,
282,281.0,32.86,15,10,
283,282.0,32.86,15,10,
284,283.0,32.86,15,10,
285,284.0,32.86,15,10,
286,285.0,32.86,15,10,
287,286.0,32.74,13,10,
288,287.0,32.86,14,10,
289,288.0,32.86,15,10,
290,289.0,32.86,15,10,
291,290.0,32.86,15,10,
292,291.0,32.86,15,10,
293,292.0,32.86,15,10,
294,293.0,32.86,15,10,
295,294.0,32.86,15,10,
296,295.0,32.86,15,10,
297,296.0,32.86,15,10,
298,297.0,32.86,15,10,
299,298.0,32.86,15,10,
300,299.0,32.86,15,10,
301,300.0,32.86,15,10,
302,301.0,32.86,15,10,
303,302.0,32.86,15,10,
304,303.0,32.86,13,10,
305,304.0,32.86,14,10,
306,305.0,32.86,15,10,
307,306.0,32.86,15,10,
308,307.0,32.86,15,10,
309,308.0,32.86,15,10,
310,309.0,32.86,15,10,
311,310.0,32.86,15,10,
312,311.0,32.86,15,10,
313,312.0,32.86,15,10,
314,313.0,32.86,15,10,
315,314.0,32.86,15,10,
316,315.0,32.86,15,10,
317,316.0,32.86,15,10,
318,317.0,32.86,15,10,
319,318.0,32.86,15,10,
320,319.0,32.86,15,10,
321,320.0,32.86,13,10,
322,321.0,32.86,14,10,
323,322.0,32.86,15,10,
324,323.0,32.86,15,10,
325,324.0,32.86,15,10,
326,325.0,32.86,15,10,
327,326.0,32.86,15,10,
328,327.0,32.74,15,10,
329,328.0,32.86,15,10,
330,329.0,32.74,15,10,
331,330.0,32.86,15,10,
332,331.0,32.86,15,10,
333,332.0,32.86,15,10,
334,333.0,32.86,15,10,
335,334.0,32.86,15,10,
336,335.0,33.22,15,10,
337,336.0,33.83,15,10,
338,337.0,34.57,15,10,
339,338.0,35.33,15,10,
340,339.0,36.11,15,10,
341,340.0,36.76,15,10,
342,341.0,37.30,14,10,
343,342.0,37.84,13,10,
344,343.0,38.39,8,0,
345,344.0,38.95,6,0,
346,345.0,39.37,0,0,
347,346.0,39.80,-1,0,
348,347.0,40.24,-7,0,
349,348.0,40.68,-9,0,
350,349.0,41.13,-15,0,
351,350.0,41.43,-15,0,
352,351.0,41.73,-15,0,
353,352.0,42.19,-15,0,
354,353.0,42.50,-15,0,
355,354.0,42.66,-15,0,
356,355.0,42.97,-15,0,
357,356.0,43.13,-15,0,
358,357.0,43.29,-15,0,
359,358.0,43.45,-15,0,
360,359.0,43.77,-15,0,
361,360.0,43.93,-15,0,
362,361.0,43.93,-15,0,
363,362.0,44.26,-15,0,
364,363.0,44.43,-15,0,
365,364.0,44.59,-15,0,
366,365.0,44.76,-15,0,
367,366.0,44.92,-15,0,
368,367.0,45.09,-15,0,
369,368.0,45.09,-15,0,
370,369.0,45.26,-15,0,
371,370.0,45.43,-15,0,
372,371.0,45.43,-15,0,
373,372.0,45.43,-15,0,
374,373.0,45.60,-15,0,
375,374.0,45.77,-15,0,
376,375.0,45.77,-15,0,
377,376.0,45.94,-15,0,
378,377.0,45.94,-15,0,
379,378.0,46.12,-15,0,
380,379.0,46.12,-15,0,
381,380.0,46.29,-15,0,
382,381.0,46.29,-15,0,
383,382.0,46.29,-15,0,
384,383.0,46.47,-15,0,
385,384.0,46.47,-15,0,
386,385.0,46.47,-15,0,
387,386.0,46.47,-15,0,
388,387.0,46.47,-15,0,
389,388.0,46.47,-15,0,
390,389.0,46.64,-15,0,
391,390.0,46.64,-15,0,
392,391.0,46.64,-15,0,
393,392.0,46.64,-15,0,
394,393.0,46.82,-15,0,
395,394.0,46.82,-15,0,
396,395.0,46.64,-15,0,
397,396.0,46.12,-15,0,
398,397.0,45.60,-15,0,
399,398.0,44.92,-15,0,
400,399.0,44.43,-15,0,
401,400.0,43.77,-15,0,
402,401.0,43.13,-15,0,
403,402.0,42.66,-15,0,
404,403.0,42.19,-15,0,
405,404.0,41.88,-15,0,
406,405.0,41.58,-15,0,
407,406.0,41.13,-15,0,
408,407.0,40.83,-15,0,
409,408.0,40.53,-15,0,
410,409.0,40.24,-15,0,
411,410.0,39.95,-15,0,
412,411.0,39.66,-15,0,
413,412.0,39.23,-15,0,
414,413.0,38.95,-15,0,
415,414.0,38.67,-15,0,
416,415.0,38.39,-15,0,
417,416.0,38.11,-15,0,
418,417.0,37.84,-8,0,
419,418.0,37.57,-9,0,
420,419.0,37.30,-10,0,
421,420.0,37.16,-11,0,
422,421.0,37.03,-12,0,
423,422.0,36.90,-9,0,
424,423.0,36.63,-9,0,
425,424.0,36.50,-10,0,
426,425.0,36.37,-10,0,
427,426.0,36.24,-11,0,
428,427.0,35.98,-7,0,
429,428.0,35.85,-7,0,
430,429.0,35.59,-7,0,
431,430.0,35.46,-7,0,
432,431.0,35.33,-7,0,
433,432.0,35.20,-7,0,
434,433.0,35.08,-7,0,
435,434.0,34.95,-2,0,
436,435.0,34.82,-2,0,
437,436.0,34.70,-2,0,
438,437.0,34.57,-1,0,
